,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
5086,0466158,1928,F,2,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U M S I G EU L S A A NG H A N D A J EO N U R I I J I EO N S EO N S E N I M I J U S I J EO NG I G EO Th EU BB A L G A N SS E k BB O R A k J A J U S M SS EU I EO N S E NG G A R EU L J O A N D A EU N U R I N A R G A EU H A G EU L S A A A N D A N EU N EO N N E D EU N Kh A Kh U I M S I G EU L J O A N D A E Kh EO G N EU N H A L JJ A euI H E GG EU H E G EU Th A N M EO R I G A R A G EU L J O A N D A N EU N EO N A J I M E S E S EO R I R EU L J O A M iEO N B O M S I N EU M EU L H EU D EU N S EO R L J EU G I N D A G A L D E euI M EU L B A R A N S EO R EU L J O A A M iEO N B A D A euI Ph A S EO R I R EU L D EU L M iEO N J I k DD EO G A SS EU M I Th EU N,"Counter({'C': 246, 'D': 60, 'S': 51, 'I': 3})",246,51,3,60,"substitution of < N > to < M >, substitution of < E > to < I >, deletion of < R >, deletion of < iE >, substitution of < iU > to < I >, substitution of < CHh > to < J >, substitution of < uEO > to < EO >, deletion of < NG >, deletion of < N >, deletion of < S >, deletion of < E >, deletion of < k >, substitution of < JJ > to < J >, substitution of < O > to < EO >, substitution of < A > to < EO >, deletion of < N >, substitution of < S > to < SS >, substitution of < B > to < BB >, deletion of < S >, deletion of < E >, deletion of < E >, deletion of < k >, deletion of < N >, deletion of < O >, substitution of < k > to < M >, deletion of < E >, substitution of < k > to < EU >, deletion of < R >, substitution of < k > to < NG >, substitution of < GG > to < G >, deletion of < N >, deletion of < A >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < A >, deletion of < A >, deletion of < N >, deletion of < N >, deletion of < A >, deletion of < L >, deletion of < N >, deletion of < EU >, substitution of < R > to < G >, deletion of < R >, deletion of < NG >, deletion of < H >, substitution of < A > to < EU >, substitution of < EU > to < EO >, deletion of < O >, substitution of < R > to < N >, substitution of < OE > to < EU >, substitution of < G > to < Kh >, substitution of < G > to < Kh >, insertion of < I >, substitution of < euI > to < M >, substitution of < E > to < I >, deletion of < A >, deletion of < N >, deletion of < EU >, substitution of < L > to < E >, substitution of < G > to < Kh >, deletion of < A >, substitution of < k > to < L >, substitution of < euI > to < E >, substitution of < Th > to < H >, substitution of < euI > to < E >, substitution of < GG > to < G >, substitution of < Kh > to < G >, substitution of < R > to < L >, deletion of < A >, deletion of < A >, deletion of < N >, deletion of < I >, deletion of < R >, substitution of < EU > to < EO >, substitution of < CHh > to < J >, substitution of < euI > to < E >, substitution of < O > to < EO >, deletion of < A >, insertion of < N >, deletion of < E >, substitution of < N > to < EU >, substitution of < U > to < EU >, deletion of < EU >, deletion of < R >, substitution of < N > to < D >, deletion of < O >, deletion of < R >, substitution of < I > to < EO >, deletion of < EU >, deletion of < L >, deletion of < E >, deletion of < B >, substitution of < U > to < euI >, substitution of < N > to < M >, substitution of < N > to < L >, substitution of < M > to < N >, deletion of < O >, deletion of < R >, substitution of < I > to < EO >, insertion of < N >, deletion of < D >, deletion of < O >, substitution of < O > to < EO >, deletion of < R >, substitution of < EU > to < L >, deletion of < A >, substitution of < O > to < EO >, substitution of < S > to < SS >, substitution of < DD > to < Th >, substitution of < UI > to < EU >, deletion of < D >, deletion of < A >",0.2032563025210084
5087,0466008,1928,F,2,Spanish,A,RS040,S,이렇게 감사의 말씀을 전할 수 있을 정도로 성장했습니다,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A NG H E S SS EU M N I D A,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO N NG D O R O S EO NG J A NG H E S SS EU M N I D A,"Counter({'C': 53, 'I': 1})",53,0,1,0,insertion of < N >,0.013937282229965157
5088,0466027,1928,F,2,Spanish,A,RS043,S,은행이 이렇게 문을 일찍 닫는 걸 알았다면 서둘렀을 텐데요,EU N E NG I I R EO Kh E M U N EU L I L JJ I k D A N N EU N G EO L A R A t DD A M iEO N S EO D U L L EO SS EU L Th E N D E iO,EU N E NG I I R EO Kh E M U N EU L I L JJ I k D A N N EU EU N G EO L A R A t DD A M iEO N S EO D U L L EO SS EU L Th E N D E iO,"Counter({'C': 54, 'I': 1})",54,0,1,0,insertion of < EU >,0.017064846416382253
5089,0466038,1928,F,2,Spanish,A,RS044,S,권력과 공권력의 차이점이 뭔지 아세요,G uEO N N iEO k GG oA G O NG G uEO N N iEO G euI CHh A I J EO M I M uEO N J I A S E iO,G uEO N N iEO k GG oA G O NG G uEO N N iEO G euI CHh A I J EO M I M uEO uEO N J I A S E iO,"Counter({'C': 34, 'I': 1})",34,0,1,0,insertion of < uEO >,0.030612244897959183
5090,0466042,1928,F,2,Spanish,A,RS045,S,뒷일은 나중에 생각하고 급한 불부터 끕시다,D UI S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,D S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,"Counter({'C': 40, 'D': 1})",40,0,0,1,deletion of < UI >,0.023148148148148147
5091,0466057,1928,F,2,Spanish,A,RS047,S,얼굴 보니 너 무슨 안 좋은 일 있구나,EO L G U L B O N I N EO M U S EU N A N J O EU N I L I t GG U N A,EO L G U L O I N EO M U S EU N A N J O EU N I I t GG U N A,"Counter({'C': 27, 'D': 3})",27,0,0,3,"deletion of < B >, deletion of < N >, deletion of < L >",0.07741935483870968
5092,0454007,1928,F,2,Spanish,A,RW068,W,권하다,G uEO N A D A,G uEO N A A D A,"Counter({'C': 6, 'I': 1})",6,0,1,0,insertion of < A >,0.10810810810810811
5093,0454027,1928,F,2,Spanish,A,RW088,W,빨래,BB A L L E,BB A L L I,"Counter({'C': 4, 'S': 1})",4,1,0,0,substitution of < E > to < I >,0.038461538461538464
5921,0509864,2153,F,99,Spanish,B,RP001,P,안녕하세요 여러분 저는 줄리앙이라고 합니다 프랑스에서 왔습니다 저는 한국 음식과 한국 문화에 관심이 있습니다 고향에서는 혼자 한국어를 공부했습니다 아직 한국어를 잘 못하지만 한국 생활이 재미있을 것 같습니다 여러분과 같이 공부하게 되어 정말 기쁩니다,A N N iEO NG H A S E iO iEO R EO B U N J EO N EU N J U L L I A NG I R A G O H A M N I D A Ph EU R A NG S EU E S EO oA S SS EU M N I D A J EO N EU N A N G U G EU M S I k GG oA A N G U G M U N oA E G oA N S I M I I S SS EU M N I D A G O iA NG E S EO N EU N H O N J A H A N G U G EO R EU L G O NG B U E S SS EU M N I D A A J I k H A N G U G EO R EU L J A L M O Th A J I M A N A N G U G S E NG H oA R I J E M I I SS EU L G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A Th I G O NG B U A G E D OE EO J EO NG M A L G I BB EU M N I D A,M E U NG H A S E iO iEO R EO B U N J EO N E J U R A NG I R A G O H A M N I D A Ph A R A NG S EU E S EO oA S SS EU M N I D A J EO N E A N G U G EU M S I k GG oA A N G U G M U N oA G oA N S I M I S SS EU M N I D A G O iA NG E S EO N EU N H O N CHh A A N G U G EO R EU L B O B U A G E S SS EU M N I D A A J I k A N G U G EO R EU L J A L M O H A J I M A N A N G U G S E NG H oA L J E M I N N EU N G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A J I G O M B U A N EU N G E D EO J EO NG M A L G I p SS EU M N I D A,"Counter({'C': 209, 'S': 17, 'D': 12, 'I': 6})",209,17,6,12,"deletion of < A >, substitution of < N > to < M >, substitution of < N > to < E >, substitution of < iEO > to < U >, deletion of < EU >, substitution of < N > to < E >, deletion of < L >, deletion of < L >, substitution of < I > to < R >, substitution of < EU > to < A >, deletion of < EU >, substitution of < N > to < E >, deletion of < E >, deletion of < I >, substitution of < J > to < CHh >, deletion of < H >, substitution of < G > to < B >, deletion of < NG >, insertion of < A >, insertion of < G >, deletion of < H >, substitution of < Th > to < H >, deletion of < R >, substitution of < I > to < L >, substitution of < I > to < N >, substitution of < SS > to < N >, substitution of < L > to < N >, substitution of < Th > to < J >, substitution of < NG > to < M >, insertion of < N >, insertion of < EU >, insertion of < N >, deletion of < OE >, insertion of < p >, substitution of < BB > to < SS >",0.0873634945397816
5922,0509907,2153,F,99,Spanish,B,RP002,P,오늘은 한국어 수업이 있어요 수업은 오전 아홉 시에 시작해요 집에서 학교까지 삼십 분이 걸려요 일곱 시에 일어나서 아침을 먹었어요 여덟 시에 집에서 나갔어요 지하철역에 도착했어요 그런데 지갑이 없었어요 다시 집에 갔어요 책상 위에 지갑이 있었어요 지하철역까지 뛰어서 갔어요 학교에 여덟 시 오십 오 분에 도착했어요 수업에 안 늦었지만 정말 힘들었어요,O N EU R EU N H A N G U G EO S U EO B I I SS EO iO S U EO B EU N O J EO N A O p S I E S I J A Kh E iO J I B E S EO H A k GG iO GG A J I S A M S I p B U N I G EO L L iEO iO I L G O p S I E I R EO N A S EO A CHh I M EU L M EO G EO SS EO iO iEO D EO L B S I E J I B E S EO N A G A SS EO iO J I A CHh EO R iEO G E D O CHh A Kh E SS EO iO G EU R EO N D E J I G A B I EO p SS EO SS EO iO D A S I J I B E G A SS EO iO CHh E k SS A NG UI E J I G A B I I SS EO SS EO iO J I A CHh EO R iEO k GG A J I DD UI EO S EO G A SS EO iO H A k GG iO E iEO D EO L B S I O S I M O B U N E D O CHh A Kh E SS EO iO S U EO B E A N N EU J EO t JJ I M A N J EO NG M A L H I M D EU R EO SS EO iO,O N EU A N G U G S U EO B I I SS EO iO S U EO B EU N O J EO N A O p S I S I J A Kh E iO J I B E S EO H A GG iO k GG A Th I S I S A M S I p B U N G EO L L iEO iO I L G O p S I E I R EO N A S EO A CHh I M EU L M EO G EO SS EO iO iEO D EO L B S I E J I B E N A G A SS EO iO J I A CHh EO L iEO G E D O CHh A Kh E S EO G EU R EO Kh E J I G A B I EO p SS EO S EO D A S I J I B E G A SS EO iO J I k SS A NG UI E UI E J I G A B I I SS EO SS EO iO J I A CHh EO R iEO k GG A J I DD OE EO S EO G A SS EO iO H A k GG iO E iEO D EO L B S I O S I O B U N D O CHh A Kh E SS EO iO S U EO E A N EU N EU J EO S I M A N J EO NG A M L H I M D EU R EO iO,"Counter({'C': 252, 'D': 19, 'S': 11, 'I': 6})",252,11,6,19,"deletion of < EU >, deletion of < R >, deletion of < N >, deletion of < H >, deletion of < EO >, deletion of < E >, deletion of < k >, insertion of < k >, insertion of < Th >, insertion of < I >, substitution of < J > to < S >, deletion of < I >, deletion of < S >, deletion of < EO >, substitution of < R > to < L >, substitution of < SS > to < S >, deletion of < iO >, deletion of < N >, substitution of < D > to < Kh >, substitution of < SS > to < S >, deletion of < iO >, substitution of < CHh > to < J >, substitution of < E > to < I >, insertion of < UI >, insertion of < E >, substitution of < UI > to < OE >, deletion of < M >, deletion of < E >, deletion of < B >, insertion of < EU >, deletion of < t >, substitution of < JJ > to < S >, substitution of < M > to < A >, substitution of < A > to < M >, deletion of < EO >, deletion of < SS >",0.08886027044430135
5923,0509769,2153,F,99,Spanish,B,RS001,S,가족이 몇 명이에요,G A J O G I M iEO t M iEO NG I E iO,G A J O G M iEO t M iEO NG I E iO,"Counter({'C': 14, 'D': 1})",14,0,0,1,deletion of < I >,0.04938271604938271
5924,0509773,2153,F,99,Spanish,B,RS002,S,여기 비빔밥 한 그릇 갖다 주세요,iEO G I B I B I M B A p H A N G EU R EU S G A t DD A J U S E iO,NG A N U,"Counter({'D': 25, 'C': 3, 'S': 1})",3,1,0,25,"deletion of < iEO >, deletion of < G >, deletion of < I >, deletion of < B >, deletion of < I >, deletion of < B >, deletion of < I >, deletion of < M >, deletion of < B >, deletion of < A >, deletion of < p >, substitution of < H > to < NG >, deletion of < G >, deletion of < EU >, deletion of < R >, deletion of < EU >, deletion of < S >, deletion of < G >, deletion of < A >, deletion of < t >, deletion of < DD >, deletion of < A >, deletion of < J >, deletion of < S >, deletion of < E >, deletion of < iO >",0.7189542483660131
5925,0509783,2153,F,99,Spanish,B,RS004,S,저는 지금 음료수하고 꽃을 사러 갔다 와야 돼요,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R EO G A t DD A oA iA D OE iO,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R A G A t DD A oA iA D OE iO,"Counter({'C': 37, 'S': 1})",37,1,0,0,substitution of < EO > to < A >,0.014634146341463415
5926,0509784,2153,F,99,Spanish,B,RS005,S,여권 사진을 찍어야 되는데 어디에서 찍으면 좋을까요,iEO G uEO N S A J I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,iEO G uEO N S A J I N JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,"Counter({'C': 41, 'D': 2})",41,0,0,2,"deletion of < EU >, deletion of < L >",0.038461538461538464
5927,0509789,2153,F,99,Spanish,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,I L N iEO N J EO N U R I G A H A N G U NG M A L L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,"Counter({'C': 46, 'D': 1, 'S': 1})",46,1,0,1,"deletion of < R >, substitution of < EU > to < L >",0.027777777777777776
5928,0509835,2153,F,99,Spanish,B,RS063,S,그렇게 힘든 일을 누가 하겠어요,G EU R EO Kh E H I M D EU N I R EU L N U G A A G E SS EO iO,G EU R EO Kh E H I M D EU I L N U G A A G E SS EO iO,"Counter({'C': 23, 'D': 3})",23,0,0,3,"deletion of < N >, deletion of < R >, deletion of < EU >",0.09420289855072464
5929,0509116,2153,F,99,Spanish,B,RW009,W,우리,U R I,GG O R I,"Counter({'C': 2, 'I': 1, 'S': 1})",2,1,1,0,"insertion of < GG >, substitution of < U > to < O >",0.5333333333333333
5930,0509247,2153,F,99,Spanish,B,RW063,W,왜,OE,,Counter({'D': 1}),0,0,0,1,deletion of < OE >,0.6666666666666666
5931,0509374,2153,F,99,Spanish,B,RW107,W,겪다,G iEO k DD A,G iEO iEO k N A,"Counter({'C': 4, 'I': 1, 'S': 1})",4,1,1,0,"insertion of < iEO >, substitution of < DD > to < N >",0.2571428571428571
5932,0509488,2153,F,99,Spanish,B,RW114,W,끝이,GG EU Th I,G EU L SS I,"Counter({'S': 2, 'C': 2, 'I': 1})",2,2,1,0,"substitution of < GG > to < G >, insertion of < L >, substitution of < Th > to < SS >",0.2857142857142857
5933,0509510,2153,F,99,Spanish,B,RW122,W,옛날,iE N N A L,iE N N U L,"Counter({'C': 4, 'S': 1})",4,1,0,0,substitution of < A > to < U >,0.038461538461538464
5934,0509513,2153,F,99,Spanish,B,RW123,W,집집마다,J I p JJ I M M A D A,J I p JJ I M A D A,"Counter({'C': 9, 'D': 1})",9,0,0,1,deletion of < M >,0.0784313725490196
5935,0509518,2153,F,99,Spanish,B,RW126,W,짓누르다,J I N N U R EU D A,J I N N U R A,"Counter({'C': 7, 'D': 2})",7,0,0,2,"deletion of < EU >, deletion of < D >",0.1956521739130435
5936,0509523,2153,F,99,Spanish,B,RW128,W,궁리,G U NG N I,GG O NG R I,"Counter({'S': 3, 'C': 2})",2,3,0,0,"substitution of < G > to < GG >, substitution of < U > to < O >, substitution of < N > to < R >",0.14814814814814814
6302,0563268,2280,F,95,Spanish,B,RP001,P,안녕하세요 여러분 저는 줄리앙이라고 합니다 프랑스에서 왔습니다 저는 한국 음식과 한국 문화에 관심이 있습니다 고향에서는 혼자 한국어를 공부했습니다 아직 한국어를 잘 못하지만 한국 생활이 재미있을 것 같습니다 여러분과 같이 공부하게 되어 정말 기쁩니다,A N N iEO NG H A S E iO iEO R EO B U N J EO N EU N J U L L I A NG I R A G O H A M N I D A Ph EU R A NG S EU E S EO oA S SS EU M N I D A J EO N EU N A N G U G EU M S I k GG oA A N G U G M U N oA E G oA N S I M I I S SS EU M N I D A G O iA NG E S EO N EU N H O N J A H A N G U G EO R EU L G O NG B U E S SS EU M N I D A A J I k H A N G U G EO R EU L J A L M O Th A J I M A N A N G U G S E NG H oA R I J E M I I SS EU L G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A Th I G O NG B U A G E D OE EO J EO NG M A L G I BB EU M N I D A,A N N iEO NG H A S E iO iEO R EO B U N J EO N EU N J EO N I A N I R A G O H A M N I D A G EU R A NG S EU E S EO oA S SS EU M N I D A J EO N EU N A N G U G EU M S I k GG oA GG oA N G U G M U N oA euI G oA S I M I I p SS EU M N I D A G O iA NG E S EO N EU N H O N J A H A N G U G EO R EU L G O NG B U E S SS EU M N I D A A J I k H A N G U G EO R EU L J A L M O Th A J I M A N A N G U G S E NG H oA R I J E M I S EU R EU L G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A Th I G O NG B U A G E D U E EO J EO NG M A L G I M O NG M N I D A,"Counter({'C': 224, 'S': 12, 'I': 4, 'D': 2})",224,12,4,2,"deletion of < U >, substitution of < L > to < EO >, substitution of < L > to < N >, substitution of < NG > to < N >, substitution of < Ph > to < G >, insertion of < GG >, substitution of < A > to < oA >, substitution of < E > to < euI >, deletion of < N >, substitution of < S > to < p >, insertion of < S >, substitution of < I > to < EU >, substitution of < SS > to < R >, insertion of < U >, substitution of < OE > to < E >, insertion of < M >, substitution of < BB > to < O >, substitution of < EU > to < NG >",0.04317111459968603
6303,0563274,2280,F,95,Spanish,B,RP002,P,오늘은 한국어 수업이 있어요 수업은 오전 아홉 시에 시작해요 집에서 학교까지 삼십 분이 걸려요 일곱 시에 일어나서 아침을 먹었어요 여덟 시에 집에서 나갔어요 지하철역에 도착했어요 그런데 지갑이 없었어요 다시 집에 갔어요 책상 위에 지갑이 있었어요 지하철역까지 뛰어서 갔어요 학교에 여덟 시 오십 오 분에 도착했어요 수업에 안 늦었지만 정말 힘들었어요,O N EU R EU N H A N G U G EO S U EO B I I SS EO iO S U EO B EU N O J EO N A O p S I E S I J A Kh E iO J I B E S EO H A k GG iO GG A J I S A M S I p B U N I G EO L L iEO iO I L G O p S I E I R EO N A S EO A CHh I M EU L M EO G EO SS EO iO iEO D EO L B S I E J I B E S EO N A G A SS EO iO J I A CHh EO R iEO G E D O CHh A Kh E SS EO iO G EU R EO N D E J I G A B I EO p SS EO SS EO iO D A S I J I B E G A SS EO iO CHh E k SS A NG UI E J I G A B I I SS EO SS EO iO J I A CHh EO R iEO k GG A J I DD UI EO S EO G A SS EO iO H A k GG iO E iEO D EO L B S I O S I M O B U N E D O CHh A Kh E SS EO iO S U EO B E A N N EU J EO t JJ I M A N J EO NG M A L H I M D EU R EO SS EO iO,O N EU R EU N H A N G U G EO S U EO B I I SS EO iO S U EO B EU N O J EU M A O p S I E S I J A Kh E iO I B E S EO H A GG iO GG A J I S A M S I p B N I G EO L L iEO iO I L G O p I S I E I R EO N A S EO A CHh I M E M EO G EO SS EO iO iEO D EO L B S I E J I B E S EO N A G A SS EO iO J I A CHh EO L iEO Kh E D O JJ A Kh E SS EO iO G EU R EO N D E S I G EU M I EO p SS EO SS EO iO D A S I J I B E G A SS EO iO S I k SS A NG E J I G A B I I SS EO SS EO iO J I A CHh EO L iEO GG A J I D U E S EO G A SS EO iO H A N G U G E iEO iEO D EO L B S I O p S I O EO N E D O JJ A Kh E SS EO iO S U EO B E A N N O A JJ I M A N J EO NG M A L H I M D EU R EO SS EO iO,"Counter({'C': 250, 'S': 22, 'D': 10, 'I': 4})",250,22,4,10,"substitution of < EO > to < EU >, substitution of < N > to < M >, deletion of < J >, deletion of < k >, deletion of < U >, insertion of < I >, deletion of < EU >, substitution of < L > to < E >, substitution of < R > to < L >, substitution of < G > to < Kh >, substitution of < CHh > to < JJ >, substitution of < J > to < S >, substitution of < A > to < EU >, substitution of < B > to < M >, substitution of < CHh > to < S >, substitution of < E > to < I >, deletion of < UI >, substitution of < R > to < L >, deletion of < k >, substitution of < DD > to < D >, substitution of < UI > to < U >, substitution of < EO > to < E >, insertion of < N >, substitution of < k > to < G >, substitution of < GG > to < U >, substitution of < iO > to < G >, insertion of < iEO >, insertion of < p >, deletion of < M >, deletion of < B >, substitution of < U > to < EO >, substitution of < CHh > to < JJ >, deletion of < EU >, deletion of < J >, substitution of < EO > to < O >, substitution of < t > to < A >",0.06952566601689408
6304,0555240,2280,F,95,Spanish,B,RS003,S,십만 원만 빌려줄 수 있어요,S I M M A N uEO N M A N B I L L iEO J U L S U I SS EO iO,S I M M A N uEO N M A N B iEO L L iEO J U L S U I SS EO iO,"Counter({'C': 24, 'S': 1})",24,1,0,0,substitution of < I > to < iEO >,0.03731343283582089
6305,0555247,2280,F,95,Spanish,B,RS004,S,저는 지금 음료수하고 꽃을 사러 갔다 와야 돼요,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R EO G A t DD A oA iA D OE iO,J EO N EU N J I G EU M EO N iO S U A G O GG O CHh EU L S EU R EO G A t DD A oA iA D OE iO,"Counter({'C': 35, 'S': 2, 'D': 1})",35,2,0,1,"deletion of < EU >, substitution of < M > to < EO >, substitution of < A > to < EU >",0.05314009661835749
6306,0563202,2280,F,95,Spanish,B,RS006,S,음식 만드는 것을 좋아하세요,EU M S I k M A N D EU N EU N G EO S EU L J O A A S E iO,EU M S I G EU L M A N D EU N EU N G EO S EU L J O A A S E iO,"Counter({'C': 24, 'I': 2, 'S': 1})",24,1,2,0,"insertion of < G >, insertion of < EU >, substitution of < k > to < L >",0.07042253521126761
6307,0555259,2280,F,95,Spanish,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,EU N EU G O R iO iO I R I N O A A D A,"Counter({'C': 9, 'D': 6, 'S': 6, 'I': 2})",9,6,2,6,"deletion of < G >, deletion of < M >, deletion of < iO >, deletion of < I >, substitution of < R > to < N >, substitution of < I > to < EU >, substitution of < J > to < G >, substitution of < A > to < R >, deletion of < I >, deletion of < R >, substitution of < J > to < N >, insertion of < A >, insertion of < D >, substitution of < iO > to < A >",0.425
6308,0555262,2280,F,95,Spanish,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N EU N N EU N J I S E G A k N A S E iO,"Counter({'C': 47, 'I': 2, 'D': 1})",47,0,2,1,"insertion of < N >, insertion of < EU >, deletion of < NG >",0.053231939163498096
6309,0555270,2280,F,95,Spanish,B,RS010,S,퇴근시간이라서 길이 많이 막히나 봐요,Th OE G EU N S I G A N I R A S EO G I R I M A N I M A Kh I N A B oA iO,OE G EU p S I G A N I R A S EO G I R I M A N I M A Kh A N I B oA iO,"Counter({'C': 28, 'S': 3, 'D': 1})",28,3,0,1,"deletion of < Th >, substitution of < N > to < p >, substitution of < I > to < A >, substitution of < A > to < I >",0.05952380952380952
6310,0555275,2280,F,95,Spanish,B,RS011,S,얼굴이 안 좋은데 무슨 일 있어요,EO L G U R I A N J O EU N D E M U S EU N I L I SS EO iO,EO L G U R I A N J O EU EU N D E M U S EU N I SS EO SS EO,"Counter({'C': 22, 'S': 2, 'I': 1, 'D': 1})",22,2,1,1,"insertion of < EU >, substitution of < L > to < SS >, substitution of < I > to < EO >, deletion of < iO >",0.13286713286713286
6311,0555293,2280,F,95,Spanish,B,RS016,S,새 직장이 마음에 들면 좋겠네요,S E J I k JJ A NG I M A EU M E D EU L M iEO N J O Kh E N N E iO,S E J I JJ A I M A EU M E D EU L M iEO N EU J O Kh E S SS EU M N,"Counter({'C': 22, 'S': 4, 'D': 2, 'I': 2})",22,4,2,2,"deletion of < k >, deletion of < NG >, insertion of < EU >, insertion of < S >, substitution of < N > to < SS >, substitution of < N > to < EU >, substitution of < E > to < M >, substitution of < iO > to < N >",0.16149068322981366
6312,0555311,2280,F,95,Spanish,B,RS020,S,아버지와 어머니 중에서 누구하고 닮았어요,A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A L M A SS EO iO,A B EO J I oA EO M EO N I J U E S EO N U G U A G O D U L A SS EO iO,"Counter({'C': 29, 'D': 2, 'S': 1})",29,1,0,2,"deletion of < NG >, substitution of < A > to < U >, deletion of < M >",0.05917159763313609
6313,0555318,2280,F,95,Spanish,B,RS021,S,이 일은 제가 한번 해 볼게요,I I R EU N J E G A H A N B EO N E B O L G E iO,I I R I N J E G A H A N B EO N E B O L G E iO,"Counter({'C': 21, 'S': 1})",21,1,0,0,substitution of < EU > to < I >,0.02654867256637168
6314,0555344,2280,F,95,Spanish,B,RS054,S,죄송하지만 못하겠습니다,J OE S O NG H A J I M A N M O Th A G E S SS EU M N I D A,J OE S O NG H A J I M A N M O M O Th A G E S SS EU M N I D A,"Counter({'C': 26, 'I': 2})",26,0,2,0,"insertion of < M >, insertion of < O >",0.05517241379310345
6315,0555396,2280,F,95,Spanish,B,RS057,S,잘 하는 짓이다,J A L A N EU N J I S I D A,J A L A N EU N J I M I D A,"Counter({'C': 12, 'S': 1})",12,1,0,0,substitution of < S > to < M >,0.015151515151515152
6316,0555398,2280,F,95,Spanish,B,RS058,S,미안 길이 막혀 늦었어,M I A N G I R I M A Kh iEO N EU J EO SS EO,M I A N G A J I A M A Kh iEO N N EU J EO SS EO,"Counter({'C': 16, 'S': 2, 'I': 2})",16,2,2,0,"substitution of < I > to < A >, substitution of < R > to < J >, insertion of < A >, insertion of < N >",0.09345794392523364
