,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
6317,0555417,2280,F,95,Spanish,B,RS061,S,이게 다 니 책임이야,I G E D A N I CHh E G I M I iA,I G E D A N I CHh E G G I M I iA,"Counter({'C': 14, 'I': 1})",14,0,1,0,insertion of < G >,0.05128205128205128
6318,0555422,2280,F,95,Spanish,B,RS062,S,이거 죄송해서 어떡하죠,I G EO J OE S O NG H E S EO EO DD EO Kh A CHh iO,I G EO J OE S O NG H E S EO EO DD EO EO DD EO Kh A CHh iO,"Counter({'C': 19, 'I': 3})",19,0,3,0,"insertion of < EO >, insertion of < EO >, insertion of < DD >",0.12096774193548387
6319,0555433,2280,F,95,Spanish,B,RS064,S,이따 전화할게,I DD A J EO N oA A L G E,I DD O J EO N oA A L G E,"Counter({'C': 10, 'S': 1})",10,1,0,0,substitution of < A > to < O >,0.017241379310344827
6320,0555436,2280,F,95,Spanish,B,RS065,S,이번엔 절대로 실수하지 않을 거야,I B EO N E N J EO L D E R O S I L S U A J I A N EU L G EO iA,I G EO N E J EO L D E R O S I L S U A J I A N EU L,"Counter({'C': 23, 'D': 4, 'S': 1})",23,1,0,4,"substitution of < B > to < G >, deletion of < N >, deletion of < G >, deletion of < EO >, deletion of < iA >",0.13793103448275862
6321,0555456,2280,F,95,Spanish,B,RS067,S,나 시험 백점 받았다 부럽지,N A S I EO M B E k JJ EO M B A D A t D A B U R EO p JJ I,N A S I EO M B E k JJ EO M A A t D A R I M,"Counter({'C': 18, 'D': 6, 'S': 2})",18,2,0,6,"deletion of < B >, deletion of < D >, deletion of < B >, deletion of < U >, deletion of < EO >, deletion of < p >, substitution of < JJ > to < I >, substitution of < I > to < M >",0.21481481481481482
6322,0555461,2280,F,95,Spanish,B,RS068,S,그것도 옷이라고 입고 다니니,G EU G EO t DD O O S I R A G O I p GG O D A N I N I,EU G EO t DD O O S I R A G O I p GG O D A N I N I,"Counter({'C': 23, 'D': 1})",23,0,0,1,deletion of < G >,0.048
6323,0555477,2280,F,95,Spanish,B,RS071,S,오늘은 지하철 타고 가자,O N EU R EU N J I A CHh EO L Th A G O G A J A,O N EU R EU N J I A CHh EO L Th A G O A J A,"Counter({'C': 19, 'D': 1})",19,0,0,1,deletion of < G >,0.03773584905660377
6324,0555480,2280,F,95,Spanish,B,RS072,S,수업 아직 안 끝났을걸,S U EO M A J I k A N GG EU N N A SS EU L G EO L,S U EO M A J I k A N GG EU N N A N SS EU L G EO L,"Counter({'C': 21, 'I': 1})",21,0,1,0,insertion of < N >,0.034482758620689655
6325,0555485,2280,F,95,Spanish,B,RS073,S,참 잘 했구나,CHh A M J A L H E t GG U N A,CHh A M J A L H E N GG U N A,"Counter({'C': 12, 'S': 1})",12,1,0,0,substitution of < t > to < N >,0.014705882352941176
6326,0554807,2280,F,95,Spanish,B,RW011,W,빨리,BB A L L I,BB A L I,"Counter({'C': 4, 'D': 1})",4,0,0,1,deletion of < L >,0.15384615384615385
6327,0554823,2280,F,95,Spanish,B,RW019,W,채소,CHh E S O,S E S U,"Counter({'S': 2, 'C': 2})",2,2,0,0,"substitution of < CHh > to < S >, substitution of < O > to < U >",0.2727272727272727
6328,0554826,2280,F,95,Spanish,B,RW022,W,꼬리,GG O R I,H O R I,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < GG > to < H >,0.14285714285714285
6329,0554830,2280,F,95,Spanish,B,RW026,W,바쁘다,B A BB EU D A,B A Ph A DD A,"Counter({'C': 3, 'S': 3})",3,3,0,0,"substitution of < BB > to < Ph >, substitution of < EU > to < A >, substitution of < D > to < DD >",0.21212121212121213
6330,0554865,2280,F,95,Spanish,B,RW053,W,중국,J U NG G U k,J EO L NG G U k,"Counter({'C': 5, 'I': 1, 'S': 1})",5,1,1,0,"insertion of < EO >, substitution of < U > to < L >",0.16216216216216217
6331,0554867,2280,F,95,Spanish,B,RW055,W,그림,G EU R I M,G EU NG N I M,"Counter({'C': 4, 'I': 1, 'S': 1})",4,1,1,0,"insertion of < NG >, substitution of < R > to < N >",0.1875
6332,0554869,2280,F,95,Spanish,B,RW057,W,야구,iA G U,iA k GG U k,"Counter({'C': 2, 'I': 2, 'S': 1})",2,1,2,0,"insertion of < k >, substitution of < G > to < GG >, insertion of < k >",0.4074074074074074
6333,0554900,2280,F,95,Spanish,B,RW073,W,사의,S A euI,J A I,"Counter({'S': 2, 'C': 1})",1,2,0,0,"substitution of < S > to < J >, substitution of < euI > to < I >",0.17647058823529413
6334,0554904,2280,F,95,Spanish,B,RW075,W,무늬,M U N euI,G U M O N I,"Counter({'I': 2, 'C': 2, 'S': 2})",2,2,2,0,"insertion of < G >, insertion of < U >, substitution of < U > to < O >, substitution of < euI > to < I >",0.34375
6335,0554934,2280,F,95,Spanish,B,RW086,W,가을,G A EU L,G A M,"Counter({'C': 2, 'D': 1, 'S': 1})",2,1,0,1,"deletion of < EU >, substitution of < L > to < M >",0.2857142857142857
6336,0554982,2280,F,95,Spanish,B,RW100,W,급하다,G EU Ph A D A,G U A D A,"Counter({'C': 4, 'D': 1, 'S': 1})",4,1,0,1,"deletion of < EU >, substitution of < Ph > to < U >",0.25
6337,0555012,2280,F,95,Spanish,B,RW107,W,겪다,G iEO k DD A,G I D A,"Counter({'C': 2, 'S': 2, 'D': 1})",2,2,0,1,"deletion of < iEO >, substitution of < k > to < I >, substitution of < DD > to < D >",0.32142857142857145
6338,0555046,2280,F,95,Spanish,B,RW116,W,해돋이,H E D O D I,H E D O I,"Counter({'C': 5, 'D': 1})",5,0,0,1,deletion of < D >,0.13333333333333333
6339,0555059,2280,F,95,Spanish,B,RW119,W,교육열,G iO iU G iEO R,G I N N iU R iEO,"Counter({'C': 3, 'I': 2, 'S': 2, 'D': 1})",3,2,2,1,"insertion of < I >, insertion of < N >, substitution of < iO > to < N >, substitution of < G > to < R >, deletion of < R >",0.4772727272727273
6340,0555062,2280,F,95,Spanish,B,RW120,W,작년,J A NG N iEO N,J A NG N iEO k,"Counter({'C': 5, 'S': 1})",5,1,0,0,substitution of < N > to < k >,0.030303030303030304
6341,0555098,2280,F,95,Spanish,B,RW128,W,궁리,G U NG N I,GG O R I,"Counter({'S': 3, 'D': 1, 'C': 1})",1,3,0,1,"deletion of < G >, substitution of < U > to < GG >, substitution of < NG > to < O >, substitution of < N > to < R >",0.35714285714285715
6342,0555147,2280,F,95,Spanish,B,RW139,W,쏟아요,SS O D A iO,SS I D EO iO,"Counter({'C': 3, 'S': 2})",3,2,0,0,"substitution of < O > to < I >, substitution of < A > to < EO >",0.14285714285714285
6343,0555150,2280,F,95,Spanish,B,RW141,W,깨끗이,GG E GG EU S I,H E GG A B I,"Counter({'S': 3, 'C': 3})",3,3,0,0,"substitution of < GG > to < H >, substitution of < EU > to < A >, substitution of < S > to < B >",0.21212121212121213
6344,0555161,2280,F,95,Spanish,B,RW145,W,인류,I N N iU,I N iU k,"Counter({'C': 2, 'S': 2})",2,2,0,0,"substitution of < N > to < iU >, substitution of < iU > to < k >",0.22727272727272727
6345,0555166,2280,F,95,Spanish,B,RW149,W,넣어요,N EO EO iO,N EO S iO,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < EO > to < S >,0.13043478260869565
6346,0555175,2280,F,95,Spanish,B,RW149,W,넣어요,N EO EO iO,G uEO N A iO,"Counter({'S': 3, 'I': 1, 'C': 1})",1,3,1,0,"insertion of < G >, substitution of < N > to < uEO >, substitution of < EO > to < N >, substitution of < EO > to < A >",0.4583333333333333
6876,0179006,563,F,97,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S O Th O NG G oA J EO N J U NG E S EO M A R H A G I oA SS U G I Kh A Th O N G iO iEO N G I N NG I D EO J U NG iO A L GG A D EU G I oA I J I Kh A Th EU N G I N EU NG I D J U NG iO A L GG A N A N EU N I E iO NG N iEO G I D EO J U NG iO A G O Th EU I D EU I G A G I B U R I R A G O S E NG G A Kh A N D A D A R EU N euI M A R EU L D EU G O G EU M A R EU L I E E iA euI S A S EO Th O NG EU L iE S O Kh A L S U I t GG I D E M U N I D A A R A S EO J I N J EO N H A N euI S A S O Th O NG EU L EU G I E S EO B U Th EO J I J A Kh A D A G O J U NG S A N A G O S I p DD A,"Counter({'C': 225, 'S': 21, 'D': 14, 'I': 1})",225,21,1,14,"substitution of < NG > to < N >, substitution of < EU > to < U >, substitution of < G > to < Kh >, substitution of < EU > to < O >, substitution of < Ph > to < G >, deletion of < EU >, deletion of < t >, substitution of < GG > to < G >, deletion of < k >, substitution of < GG > to < J >, substitution of < G > to < Kh >, deletion of < EO >, substitution of < iEO > to < iO >, insertion of < N >, deletion of < Kh >, deletion of < t >, deletion of < GG >, substitution of < O > to < U >, substitution of < N > to < R >, deletion of < I >, deletion of < t >, substitution of < GG > to < G >, substitution of < O > to < EO >, deletion of < G >, deletion of < D >, substitution of < NG > to < N >, deletion of < N >, substitution of < D > to < L >, deletion of < t >, substitution of < GG > to < G >, substitution of < S > to < J >, deletion of < N >, substitution of < J > to < NG >, substitution of < A > to < S >, substitution of < NG > to < A >, substitution of < H > to < N >",0.07934238741958542
6877,0179028,563,F,97,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U N S E G A EU L S A R A M H A N D A iE J EO N E U R I iU J I uEO N S EO N S E NG N I M J U S I N S E k J EO NG I G A Th EU N BB A L A N S E k B O R A S E k A J U S E k N O SS E I R EO N S E k Kh A R EU L N A N EU L J O A A N D A N EU N U R I N A R A Kh A EU L H A N EU EU L S A R A N A N D A N EU N EO R E t DD N Kh A G OE S E G EU L J O A A N D A N U Kh U Kh A N EU N H A JJ A euI I Kh I M I DD EU Th A N EO R I Kh A R A G EU L J O A A N D A A N EU N I R EO N A t SS I M euI S E S EO R I R EU L J O A A M iEO B O M S I A M EU L H EU R EU N EU N S EO R I EU L J EU L G I N D A G EO L R A euI B U R EU N B A R A M S EO R I R EU L J O A A M iEO B A Ph A euI B DD O S EO R R EU L D EU L M iEO A J I k DD EO G SS EU M I D OE N D A,"Counter({'C': 287, 'S': 45, 'D': 25, 'I': 3})",287,45,3,25,"insertion of < A >, substitution of < NG > to < M >, insertion of < E >, substitution of < CHh > to < J >, deletion of < I >, substitution of < JJ > to < J >, substitution of < O > to < EO >, deletion of < G >, deletion of < J >, deletion of < k >, deletion of < k >, substitution of < GG > to < Kh >, substitution of < N > to < L >, deletion of < A >, deletion of < N >, substitution of < G > to < Kh >, deletion of < R >, deletion of < NG >, substitution of < H > to < N >, deletion of < A >, deletion of < N >, substitution of < O > to < EO >, substitution of < D > to < t >, substitution of < OE > to < DD >, substitution of < G > to < Kh >, deletion of < U >, substitution of < euI > to < OE >, deletion of < EU >, substitution of < L > to < U >, substitution of < G > to < Kh >, substitution of < EO > to < U >, substitution of < G > to < Kh >, deletion of < k >, deletion of < H >, substitution of < euI > to < I >, substitution of < GG > to < Kh >, substitution of < EU > to < I >, substitution of < Th > to < M >, substitution of < euI > to < I >, substitution of < GG > to < DD >, deletion of < M >, substitution of < R > to < L >, deletion of < N >, substitution of < EU > to < EO >, insertion of < t >, substitution of < CHh > to < SS >, substitution of < O > to < EO >, deletion of < N >, deletion of < E >, substitution of < N > to < A >, substitution of < U > to < EU >, substitution of < O > to < EO >, deletion of < R >, substitution of < A > to < EO >, substitution of < D > to < R >, substitution of < E > to < A >, substitution of < E > to < euI >, substitution of < N > to < R >, substitution of < O > to < EO >, substitution of < D > to < Ph >, deletion of < Ph >, substitution of < A > to < B >, substitution of < D > to < DD >, substitution of < O > to < EO >, deletion of < I >, deletion of < R >, substitution of < EU > to < L >, deletion of < N >, substitution of < O > to < EO >, deletion of < A >, substitution of < S > to < SS >, substitution of < DD > to < D >, substitution of < UI > to < OE >",0.11526315789473685
6878,0178932,563,F,97,Spanish,A,RS029,S,물이 팔팔 끓는데 왜 불을 안 끄고 가만히 있어요,M U R I Ph A L Ph A L G EU N N EU N D E OE B U R EU L A N G EU G O G A M A N I I SS EO iO,M U R I Ph A L Ph A L G EU N N EU N D E OE B U R EU L A N G EU G O G A M A N I I SS EO,"Counter({'C': 39, 'D': 1})",39,0,0,1,deletion of < iO >,0.02857142857142857
6879,0178941,563,F,97,Spanish,A,RS034,S,새로 생긴 식당에 가 봤는데 분위기가 아주 좋던데요,S E R O S E NG G I N S I k DD A NG E G A B oA N N EU N D E B U N UI G I G A A J U J O Th EO N D E iO,S E R O S E NG G I N S I k DD A NG E G A B oA N N EU N D E B U N I G A A J U J O Th EO N D E iO,"Counter({'C': 44, 'D': 2})",44,0,0,2,"deletion of < UI >, deletion of < G >",0.03765690376569038
6880,0178944,563,F,97,Spanish,A,RS035,S,왜 항상 언니 용돈은 많고 내 용돈은 조금이지,OE H A NG S A NG EO N N I iO NG D O N EU N M A N Kh O N E iO NG D O N EU N J O G EU M I J I,OE H A NG S A NG EO N N I iO NG D O N EU N M A N Kh O N E iO D O N EU N J O G EU M I J I,"Counter({'C': 39, 'D': 1})",39,0,0,1,deletion of < NG >,0.02358490566037736
6881,0178954,563,F,97,Spanish,A,RS042,S,이 업무에 적합한 사람이 있으면 언제든지 말씀해 주세요,I EO M M OE J EO Kh A Ph A N S A R A M I I SS EU M iEO N EO N J E D EU N J I M A L SS EU M H E J U S E iO,I EO M M E J EO L Kh A,"Counter({'D': 36, 'C': 7, 'S': 3})",7,3,0,36,"deletion of < EO >, deletion of < M >, deletion of < M >, deletion of < OE >, deletion of < J >, deletion of < Kh >, deletion of < A >, deletion of < Ph >, deletion of < A >, deletion of < N >, deletion of < S >, deletion of < A >, deletion of < R >, deletion of < A >, deletion of < I >, deletion of < I >, deletion of < SS >, deletion of < EU >, deletion of < iEO >, deletion of < N >, deletion of < EO >, deletion of < N >, deletion of < J >, deletion of < D >, deletion of < EU >, deletion of < N >, deletion of < I >, deletion of < M >, substitution of < A > to < EO >, deletion of < SS >, deletion of < EU >, deletion of < M >, deletion of < H >, deletion of < E >, deletion of < J >, deletion of < U >, deletion of < S >, substitution of < E > to < Kh >, substitution of < iO > to < A >",0.6666666666666666
6882,0178969,563,F,97,Spanish,A,RS052,S,저희 백화점을 찾아주셔서 감사합니다,J EO euI B E Kh oA J EO M EU L CHh A J A J U S iEO S EO G A M S A A M N I D A,J EO euI B E Kh oA J EO M EU L CHh A J A J U S iEO S EO G A M S A M N I D A,"Counter({'C': 32, 'D': 1})",32,0,0,1,deletion of < A >,0.022598870056497175
6883,0178862,563,F,97,Spanish,A,RW107,W,겪다,G iEO k DD A,J iEO Th A,"Counter({'S': 2, 'C': 2, 'D': 1})",2,2,0,1,"substitution of < G > to < J >, deletion of < k >, substitution of < DD > to < Th >",0.25
6884,0178914,563,F,97,Spanish,A,RW142,W,빛을,B I CHh EU L,B I CHh EU L L,"Counter({'C': 5, 'I': 1})",5,0,1,0,insertion of < L >,0.12121212121212122
6885,0178917,563,F,97,Spanish,A,RW144,W,밖은,B A GG EU N,B A Kh EU N,"Counter({'C': 4, 'S': 1})",4,1,0,0,substitution of < GG > to < Kh >,0.07407407407407407
6886,0178925,563,F,97,Spanish,A,RW150,W,좋은,J O EU N,J O EU,"Counter({'C': 3, 'D': 1})",3,0,0,1,deletion of < N >,0.3333333333333333
7750,0434029,935,M,91,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S EO Th O N G oA J EO N J U NG E S EO M A R H A G I oA D EU I G A Th EU N Ph E EO M G I R I EO J U NG iO A GG A D EU Kh I oA I N Kh I G A Th EU N G I R EU NG I D EO J U NG iO A L GG A N A N E N I E iEO N G EO I EO J U NG iO A G O D EU Kh I EU G I G A G I B oA NG I R A G O S E NG G A Kh A N D A D A R EU N E M A R EU L D EU G O G EU M A R EU L I E E iA euI S A S EO Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO S I N J EO N A N euI S A S O Th O NG EU N D EU GG I E S EO B U Th EO S I J A Kh A D A G O J U J U NG H A G EO S I p DD A,"Counter({'C': 219, 'S': 27, 'D': 14})",219,27,0,14,"substitution of < O > to < EO >, substitution of < NG > to < N >, substitution of < NG > to < N >, substitution of < SS > to < D >, deletion of < G >, substitution of < iO > to < E >, substitution of < iEO > to < EO >, substitution of < N > to < M >, deletion of < N >, deletion of < EU >, substitution of < NG > to < R >, deletion of < D >, deletion of < L >, deletion of < t >, substitution of < GG > to < Kh >, substitution of < k > to < N >, substitution of < GG > to < Kh >, substitution of < N > to < R >, substitution of < EU > to < E >, deletion of < NG >, substitution of < iEO > to < N >, substitution of < I > to < EO >, substitution of < D > to < I >, substitution of < Th > to < D >, deletion of < D >, deletion of < t >, substitution of < GG > to < G >, substitution of < O > to < oA >, substitution of < N > to < NG >, deletion of < I >, substitution of < euI > to < E >, deletion of < t >, substitution of < GG > to < G >, substitution of < O > to < EO >, substitution of < J > to < S >, deletion of < NG >, substitution of < H > to < N >, deletion of < t >, deletion of < N >, substitution of < A > to < U >, substitution of < O > to < EO >",0.08810888252148998
7751,0434136,935,M,91,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A J EO N U R I iU Kh I EO N S EO N S E N I M I J U S I N S E k J EO NG I G A Th EU N BB A L G A N S E k BB EO R A S E k J A J U S E N O SS E I R EO N S E k G A R EU A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A M EU EU L S A R A NG H A N D A N A N EU N EO N E t DD EO E N G A L G euI S E G EU L J O A A N D A N EU Kh EO G A N EU N H A L J A euI I G iEO Th I G EU Th A N M EO R I G R A G EU L J O A A N D A N A N N I R EU N A CHh I M E S E S EO R I R EU L J O A A M iEO N B EO M S I N EU M U L EU R EU N EU N S EO R I R EU L J EU G EU N D A G A L D E B O N EU N B A R A N S EO R I R EU L J O A M iEO N B A D A euI oA Th O S EO R R EU L D EU R EU M iEO N A J I k DD O G SS EU M I D EU N D A,"Counter({'C': 298, 'S': 39, 'D': 20, 'I': 4})",298,39,4,20,"deletion of < iE >, substitution of < CHh > to < Kh >, substitution of < uEO > to < EO >, deletion of < NG >, substitution of < JJ > to < J >, substitution of < O > to < EO >, substitution of < B > to < BB >, substitution of < O > to < EO >, deletion of < k >, deletion of < k >, deletion of < k >, substitution of < GG > to < G >, deletion of < L >, deletion of < N >, substitution of < N > to < M >, deletion of < R >, substitution of < O > to < EO >, substitution of < R > to < N >, insertion of < t >, insertion of < DD >, substitution of < D > to < EO >, substitution of < OE > to < E >, substitution of < G > to < L >, substitution of < U > to < G >, deletion of < L >, substitution of < G > to < Kh >, substitution of < k > to < L >, substitution of < JJ > to < J >, deletion of < H >, substitution of < euI > to < I >, substitution of < GG > to < G >, substitution of < EU > to < iEO >, substitution of < euI > to < I >, substitution of < GG > to < G >, deletion of < Kh >, substitution of < A > to < G >, substitution of < R > to < L >, deletion of < EU >, substitution of < euI > to < E >, substitution of < O > to < EO >, insertion of < N >, substitution of < O > to < EO >, deletion of < E >, substitution of < N > to < EU >, deletion of < H >, substitution of < O > to < EO >, deletion of < L >, substitution of < I > to < EU >, deletion of < E >, substitution of < U > to < O >, substitution of < M > to < N >, substitution of < O > to < EO >, deletion of < A >, insertion of < N >, deletion of < Ph >, substitution of < A > to < oA >, substitution of < D > to < Th >, substitution of < O > to < EO >, deletion of < I >, deletion of < A >, substitution of < S > to < SS >, substitution of < DD > to < D >, substitution of < UI > to < EU >",0.1
7752,0433010,935,M,91,Spanish,A,RS028,S,좋은 의견이 있으시면 의견란에 꼭 써 주시기 바랍니다,J O EU N euI G iEO N I I S EU S I M iEO N euI G iEO N N A N E GG O k SS EO J U S I G I B A R A M N I D A,J O EU N euI euI G iEO N I I S EU S I M iEO N euI G iEO N N A N E GG O k SS EO J U S I G I B A R A M N I D A,"Counter({'C': 45, 'I': 1})",45,0,1,0,insertion of < euI >,0.024291497975708502
7753,0433449,935,M,91,Spanish,A,RS040,S,이렇게 감사의 말씀을 전할 수 있을 정도로 성장했습니다,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A NG H E S SS EU M N I D A,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A A M E S EU M N I D A,"Counter({'C': 50, 'S': 2, 'D': 1})",50,2,0,1,"substitution of < NG > to < A >, substitution of < H > to < M >, deletion of < SS >",0.031914893617021274
7754,0433807,935,M,91,Spanish,A,RS050,S,국내선 공항과 국제선 공항이 다르다는 것을 왜 미리 말씀해 주시지 않으셨어요,G U NG N E S EO N G O NG H A NG G oA G U k JJ E S EO N G O NG H A NG I D A R EU D A N EU N G EO S EU L OE M I R I M A L SS EU M H E J U S I J I A N EU S iEO SS EO iO,G U NG N E S EO N G O NG H A NG G oA G U k JJ E S EO N G O NG H A NG I D A R EU D A N EU N G EO S EU L OE M I R I M A L SS EU M EU L H E J U S I A N EU S iEO SS EO iO,"Counter({'C': 70, 'I': 2, 'D': 2})",70,0,2,2,"insertion of < EU >, insertion of < L >, deletion of < I >, deletion of < J >",0.043256997455470736
7755,0387327,935,M,91,Spanish,A,RW011,W,빨리,BB A L L I,J A L R I,"Counter({'C': 3, 'S': 2})",3,2,0,0,"substitution of < BB > to < J >, substitution of < L > to < R >",0.15384615384615385
7756,0391314,935,M,91,Spanish,A,RW034,W,들어요,D EU R EO iO,D EU R EO,"Counter({'C': 4, 'D': 1})",4,0,0,1,deletion of < iO >,0.21428571428571427
7757,0391730,935,M,91,Spanish,A,RW057,W,야구,iA G U,A G U,"Counter({'C': 2, 'S': 1})",2,1,0,0,substitution of < iA > to < A >,0.125
7758,0391741,935,M,91,Spanish,A,RW058,W,이야기,I iA G I,I J A G I,"Counter({'C': 3, 'I': 1, 'S': 1})",3,1,1,0,"insertion of < J >, substitution of < iA > to < A >",0.23076923076923078
7759,0391751,935,M,91,Spanish,A,RW059,W,여기,iEO G I,J O G I,"Counter({'C': 2, 'I': 1, 'S': 1})",2,1,1,0,"insertion of < J >, substitution of < iEO > to < O >",0.47058823529411764
7760,0431959,935,M,91,Spanish,A,RW084,W,영어,iEO NG EO,J O NG EO,"Counter({'C': 2, 'I': 1, 'S': 1})",2,1,1,0,"insertion of < J >, substitution of < iEO > to < O >",0.42105263157894735
